12,331119
313,332840
314,333986
315,334336
316,338434
317,340457
318,340977
319,341591
320,341594
321,342598
322,343445
323,344503
324,344850
325,344950
326,344950
327,345046
328,346440
329,348437
330,349773
331,350277
332,351384
333,351767
334,352163
335,352164
336,353189
337,353648
338,353649
339,358527
340,358998
341,359161
342,359347
343,359989
344,359990
345,360239
346,361848
347,361848
348,362427
349,362494
350,370084
351,373367
352,373367
353,375023
354,375649
355,375741
356,379570
357,382475
358,382543
359,383740
360,387782
361,387856
362,388751
363,395651
364,398266
365,398831
366,398953
367,399528
368,400745
369,400994
370,401251
371,408451
372,412487
373,412880
374,412881
375,413739
376,413792
377,414436
378,414454
379,415347
380,415692
381,416377
382,416865
383,417118
384,418252
385,418252
386,419564
387,419564
388,422251
389,423883
390,424499
391,424902
392,424903
393,426462
394,426463
395,427030
396,427031
397,432175
398,432219
399,432350
400,432351
401,433092
402,435021
403,435106
404,436025
405,437128
406,439647
407,439647
408,440200
409,440996
410,442495
411,443219
412,443752
413,444269
414,444294
415,444294
416,445236
417,448898
418,449691
419,449996
420,451145
421,454336
422,454336
423,455822
424,455954
425,455955
426,457772
427,462638
428,462638
429,463495
430,466003
431,469199
432,469375
433,471902
434,472538
435,473097
436,474036
437,474037
438,476139
439,476295
440,479410
441,481078
442,482226
443,483693
444,484017
445,484345
446,485725
447,487309
448,487856
449,488359
450,488360
451,488944
452,492095
453,492471
454,493860
455,493861
456,496700
457,497346
458,498144
459,500053
460,500848
461,501814
462,503975
463,504744
464,507222
465,507493
466,507493
467,507995
468,510206
469,510257
470,512109
471,519429
472,519447
473,519623
474,519624
475,519787
476,519788
477,520785
478,525019
479,528652
480,528653
481,529717
482,530995
483,534620
484,535412
485,536146
486,536345
487,537809
488,538094
489,538798
490,540542
491,540602
492,541123
493,542207
494,542207
495,542469
496,545461
497,545462
498,547237
499,547238
500,547297
501,547297
502,548891
503,549078
504,552642
505,552784
506,553869
507,553869
508,555257
509,555257
510,556086
511,558320
512,559494
513,560450
514,560619
515,563195
516,564441
517,564442
518,565801
519,566557
520,566558
521,566818
522,566818
523,570626
524,571494
525,572008
526,572009
527,572163
528,572899
529,572900
530,573968
531,573968
532,574413
533,578361
534,578362
535,578876
536,582079
537,582080
538,582951
539,585475
540,585749
541,588176
542,589191
543,589197
544,590347
545,591484
546,592717
547,593942
548,595561
549,595562
550,596615
551,596615
552,598862
553,598863
554,602212
555,602539
556,602622
557,602997
558,603057
559,603158
560,603344
561,603607
562,606187
563,606815
564,610402
565,614608
566,614944
567,614944
568,615247
569,617432
570,617627
571,618327
572,618542
573,624301
574,624320
575,625060
576,627215
577,628170
578,629150
579,629151
580,630820
581,632353
582,632417
583,634287
584,634775
585,635254
586,635459
587,636626
588,636797
589,636798
590,637204
591,638532
592,638645
593,639255
594,641037
595,641581
596,641794
597,642964
598,643402
599,645312
600,645518
601,646221
602,646221
603,646284
604,646724
605,646725
606,647625
607,651060
608,655748
609,655814
610,655896
611,656077
612,656793
613,656921
614,658447
615,659070
616,660278
617,665903
618,666145
619,666146
620,667786
621,669316
622,670578
623,671423
624,672321
625,673338
626,675639
627,675666
628,678473
629,678701
630,678927
631,680078
632,685574
633,689275
634,689725
635,689869
636,690549
637,692977
638,693204
639,696688
640,701310
641,701424
642,702436
643,702771
644,703475
645,703476
646,704820
647,704821
648,705742
649,706038
650,706783
651,707535
652,707535
653,708467
654,709179
655,711296
656,712531
657,712902
658,712902
659,714388
660,715001
661,715479
662,716786
663,716787
664,721250
665,721523
666,721620
667,721787
668,723505
669,724795
670,729820
671,731275
672,734368
673,735369
674,735369
675,735840
676,735840
677,736161
678,738720
679,740590
680,743733
681,745044
682,745044
683,745291
684,745442
685,749728
686,750063
687,750355
688,751197
689,751377
690,751908
691,752389
692,752979
693,753719
694,756703
695,756866
696,757092
697,759207
698,759514
699,759559
700,760621
701,760678
702,760679
703,762010
704,762793
705,763236
706,764947
707,765535
708,765655
709,766869
710,766993
711,768441
712,769376
713,769556
714,770269
715,771616
716,776460
717,777359
718,782404
719,784130
720,786571
721,786646
722,787239
723,787240
724,789448
725,789706
726,789763
727,790924
728,791147
729,791994
730,791995
731,792764
732,793556
733,793723
734,794165
735,794444
736,794608
737,795037
738,796859
739,798839
740,801683
741,802482
742,802864
743,802865
744,803511
745,804487
746,805066
747,806315
748,807343
749,807358
750,808547
751,809779
752,811445
753,813527
754,813527
755,815009
756,815245
757,816580
758,818365
759,820617
760,827349
761,827350
762,827925
763,827925
764,828018
765,828043
766,828511
767,828957
768,828957
769,829388
770,829486
771,830085
772,831191
773,832590
774,834980
775,840104
776,840303
777,840664
778,846165
779,849181
780,850108
781,850108
782,850426
783,850705
784,850706
785,851576
786,852626
787,853992
788,854882
789,854883
790,855703
791,860563
792,861448
793,861690
794,862854
795,862891
796,866052
797,866052
798,868236
799,869964
800,870788
801,871333
802,873164
803,873521
804,874928
805,874928
806,875270
807,875493
808,875723
809,875978
810,876320
811,877510
812,878652
813,882168
814,882681
815,885368
816,885810
817,886101
818,887009
819,887010
820,887806
821,887839
822,888468
823,888716
824,888741
825,889182
826,890135
827,890752
828,891676
829,893227
830,893283
831,895703
832,897243
833,898848
834,901511
835,901599
836,904428
837,904428
838,907288
839,907851
840,908320
841,909524
842,909524
843,911521
844,911618
845,911977
846,912616
847,914227
848,914228
849,919116
850,919384
851,919431
852,919431
853,921562
854,926540
855,926629
856,928325
857,928326
858,928674
859,930902
860,931068
861,934040
862,934040
863,934332
864,935399
865,937863
866,937896
867,937897
868,938405
869,938405
870,938543
871,938692
872,942204
873,943148
874,943148
875,943834
876,944613
877,944923
878,946955
879,947097
880,947151
881,948837
882,949137
883,949138
884,953434
885,955720
886,958511
887,958622
888,959976
889,960982
890,961427
891,962128
892,962129
893,963796
894,965223
895,965693
896,966027
897,966331
898,966338
899,971582
900,973087
901,975221
902,976648
903,980834
904,980834
905,981017
906,981936
907,982339
908,982822
909,984734
910,986183
911,986959
912,987714
913,988294
914,989000
915,992187
916,992187
917,993337
918,996564
919,996759
920,996760
921,1000320
922,1005834
923,1005835
924,1006412
925,1007420
926,1009800
927,1010368
928,1011990
929,1012348
930,1012349
931,1012461
932,1012461
933,1012659
934,1013462
935,1015957
936,1018500
937,1020190
938,1020291
939,1020888
940,1021923
941,1022521
942,1023584
943,1024966
944,1024967
945,1025121
946,1025818
947,1026426
948,1026682
949,1029460
950,1030284
951,1030631
952,1031754
953,1032426
954,1033650
955,1033994
956,1033994
957,1035222
958,1036617
959,1037603
960,1037604
961,1040012
962,1040422
963,1043815
964,1044003
965,1046177
966,1046498
967,1048492
968,1050551
969,1050930
970,1052280
971,1059040
972,1059040
973,1059080
974,1059298
975,1060013
976,1060505
977,1060520
978,1064766
979,1065837
980,1065838
981,1066219
982,1067299
983,1067794
984,1069116
985,1069117
986,1069556
987,1070018
988,1070369
989,1071267
990,1071267
991,1074933
992,1076477
993,1077777
994,1080229
995,1080323
996,1081026
997,1082454
998,1082771
999,1082771
1000,1086808
1001,1089340
1002,1089365
1003,1091075
1004,1094192
1005,1094244
1006,1094244
1007,1094540
1008,1096195
1009,1097484
1010,1097484
1011,1100397
1012,1100632
1013,1101054
1014,1102502
1015,1102502
1016,1104750
1017,1105114
1018,1106231
1019,1106840
1020,1107975
1021,1109653
1022,1110858
1023,1112540
1024,1113629
1025,1113630
1026,1114956
1027,1115416
1028,1116275
1029,1116599
1030,1117732
1031,1117732
1032,1118416
1033,1119024
1034,1121204
1035,1121205
1036,1121359
1037,1121765
1038,1123495
1039,1123712
1040,1124186
1041,1124439
1042,1127560
1043,1129022
1044,1129258
1045,1129639
1046,1129640
1047,1134528
1048,1138404
1049,1139186
1050,1144199
1051,1144449
1052,1147350
1053,1147954
1054,1150939
1055,1156494
1056,1157124
1057,1158647
1058,1161371
1059,1163524
1060,1166457
1061,1166854
1062,1167644
1063,1167910
1064,1167910
1065,1167951
1066,1170298
1067,1170914
1068,1171002
1069,1171569
1070,1171570
1071,1172175
1072,1172668
1073,1172952
1074,1173587
1075,1173588
1076,1178360
1077,1180769
1078,1180769
1079,1184516
1080,1184827
1081,1185141
1082,1185281
1083,1185851
1084,1186527
1085,1186528
1086,1187034
1087,1187985
1088,1189135
1089,1189154
1090,1189378
1091,1189817
1092,1190674
1093,1190830
1094,1191452
1095,1191703
1096,1191704
1097,1191793
1098,1193190
1099,1196475
1100,1196476
1101,1196580
1102,1197045
1103,1197905
1104,1203151
1105,1206433
1106,1207013
1107,1207014
1108,1207664
1109,1214336
1110,1215835
1111,1216694
1112,1229690
1113,1229691
1114,1229696
1115,1233101
1116,1233756
1117,1235265
1118,1238032
